id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
13319120,Bright Cosy 1 Bed Central Edinburgh Apartment,75317512,Victoria,,Broughton South,55.96375,-3.19061,Entire home/apt,50,2,85,2019-01-07,2.74,1,147
13320028,"Ground-floor, Meadows tenement flat by Summerhall.",7085319,Jackie,,Marchmont East and Sciennes,55.9395,-3.18338,Entire home/apt,109,4,13,2017-02-05,0.42,2,0
13322340,"Edinburgh City Centre  2-Bed, Sleeps 4/5",28298591,Alison,,New Town West,55.95493,-3.20886,Entire home/apt,100,2,35,2018-01-01,1.30,1,0
13323027,2 Bedroom Flat With A View and Secure Parking,73462100,Janice,,Stockbridge,55.95949,-3.20995,Entire home/apt,60,2,85,2019-02-12,2.77,1,21
13325984,Voted Third Best Place To Stay in UK,75390063,Marjorie,,Stockbridge,55.95773,-3.20861,Entire home/apt,325,2,5,2018-11-26,0.25,1,87
13326104,Bright comfy room in sunny Leith,4881077,Helen,,Easter Road and Hawkhill Avenue,55.96367,-3.17001,Private room,35,2,20,2018-08-26,0.65,2,134
13326398,Edinburgh Castle a 20 minute walk.,5361963,June And Gordon,,Deans Village,55.94928,-3.22011,Private room,70,2,30,2019-01-02,0.96,2,254
13335883,"Central Apartment, Home from Home, Free Parking",75514427,Kyra,,Pilrig,55.96369,-3.18113,Entire home/apt,55,2,238,2019-01-27,7.32,1,322
13336548,"Central, newly decorated family home",75521448,Jane,,The Grange,55.93369,-3.18644,Entire home/apt,217,18,1,2018-08-19,0.17,2,0
13337156,Lovely traditional Edinburgh flat with parking,75525696,Christine,,Murrayfield and Ravelston,55.94567,-3.24897,Entire home/apt,68,2,12,2016-09-26,0.37,1,0
13338941,Superb City Centre Location,75544087,Irene,,Deans Village,55.9511,-3.21716,Entire home/apt,185,3,5,2017-08-23,0.16,1,0
13339082,2 bed room flat in great location,75544904,Mounes,,Corstorphine,55.94145,-3.28737,Entire home/apt,60,5,0,,,1,0
13339358,Meadow Dairy. Ground floor flat facing The Meadows,75548518,Graham,,Marchmont West,55.93879,-3.19569,Entire home/apt,95,2,40,2018-12-31,1.28,1,81
13342070,Deluxe Victorian Apartment with Luxury Bathroom,41523995,Cameron,,Hillside and Calton Hill,55.95956,-3.17774,Entire home/apt,70,2,71,2019-01-02,2.34,1,321
13342218,Cosy two bedded apartment in Cannonmills,75563923,Lorna,,Broughton North and Powderhall,55.96384,-3.19371,Entire home/apt,80,2,34,2019-02-10,1.08,1,68
13344351,Cosy double bedroom in modern flat close to centre,69085438,Ege & Roberto,,Easter Road and Hawkhill Avenue,55.96197,-3.16457,Private room,39,2,69,2017-11-30,2.12,1,0
13345614,Beautiful period property at Edinburgh's Seaside,4929700,Sarah,,Joppa,55.95208,-3.10595,Entire home/apt,70,3,7,2017-08-06,0.22,1,0
13345634,Arthur's Seat View Modern Family Flat  Car Parking,75619586,Julia,,"Canongate, Southside and Dumbiedykes",55.94247,-3.17585,Entire home/apt,96,2,124,2019-01-20,3.84,1,316
13352180,"Spacious, Victorian 3 bed flat near city centre",60706026,Rose,,Marchmont East and Sciennes,55.9389,-3.19262,Entire home/apt,150,2,5,2016-07-25,0.16,1,0
13353228,Double room in relaxed home,36365310,Catherine,,Comely Bank,55.9588,-3.2203,Private room,38,2,85,2018-12-09,2.73,1,66
13355245,Bright bedroom in Edinburgh's New Town,25273053,Molly,,Canonmills and New Town North,55.95884,-3.19683,Private room,45,2,28,2017-09-04,0.93,1,0
13356784,Traditional & Bright Central Edinburgh Flat,1557878,Claire,,Tollcross,55.94383,-3.20579,Entire home/apt,50,2,14,2019-01-02,0.46,1,184
13357985,Cosy 1 Bed Central Flat,4792149,Irina & Tom,,Broughton North and Powderhall,55.96383,-3.19398,Entire home/apt,50,2,78,2019-02-03,2.43,1,184
13360495,Family room with en-suite (sleeps 3 ),63140666,Amina,,The Grange,55.93357,-3.17699,Private room,60,3,5,2016-09-25,0.15,4,43
13360522,3 bedroom luxury Holyrood Park life sleeps 6,54502259,Richard,,Meadowbank and Abbeyhill North,55.95544,-3.15914,Entire home/apt,144,1,5,2017-08-16,0.16,1,0
13364051,Holiday Let - 1 bedroom flat near Princes Street,53604152,Dorothy,,New Town East and Gayfield,55.9586,-3.18492,Entire home/apt,89,7,3,2016-09-02,0.10,1,0
13364833,Twin Room Argyle Place,34851519,Robert,,Marchmont East and Sciennes,55.93905,-3.1902,Private room,80,2,13,2018-09-14,0.43,2,350
13371361,Walk Everywhere - Central Edinburgh Festival Flat.,40542135,Arnold,,Meadows and Southside,55.944,-3.18677,Entire home/apt,80,1,32,2019-01-03,0.99,1,1
13372464,"Central Room, Ideal for Festival",44161881,Lucy,,Marchmont East and Sciennes,55.9362,-3.19397,Private room,80,2,2,2016-08-18,0.07,2,0
13375290,Spacious family friendly home,74740865,Lorraine,,North Leith and Newhaven,55.97619,-3.18683,Entire home/apt,140,4,2,2016-10-23,0.07,1,0
13375915,Charming & Unique Apartment on Leith Walk,37073440,Martin,,Broughton South,55.96171,-3.18278,Entire home/apt,69,3,226,2019-02-11,7.21,1,29
13384217,West End  mews cottage,6029355,Jennifer,,Comely Bank,55.95391,-3.21895,Private room,70,3,7,2019-01-01,1.00,2,249
13385492,Newly renovated city centre flat,20512603,Shona,,New Town West,55.95473,-3.19984,Entire home/apt,99,2,23,2017-09-12,0.72,3,0
13386075,Central yet quiet flat with parking,6200172,Francis,,New Town East and Gayfield,55.96107,-3.18715,Entire home/apt,82,2,39,2019-02-03,1.26,2,154
13386167,Castle Terrace,3347799,Katie,,"Old Town, Princes Street and Leith Street",55.94776,-3.20101,Entire home/apt,240,3,14,2018-08-27,0.44,33,46
13386490,Bright spacious Edinburgh family home by the sea,19978960,Chris,,Granton and Royston Mains,55.98006,-3.21705,Entire home/apt,310,14,0,,,1,0
13388292,Double room in gorgeous Marchmont apartment,1693598,Luke,,Marchmont East and Sciennes,55.93623,-3.1943,Private room,89,3,5,2018-09-18,0.27,1,0
13388869,Charming Central 1 bed flat.,44681934,Gerry,,Tollcross,55.94398,-3.20533,Entire home/apt,60,2,305,2019-02-04,9.36,1,49
13389105,Central apartment near Castle - 2 bedrooms,76135006,Margaret,,Tollcross,55.94582,-3.20483,Entire home/apt,70,3,133,2019-02-10,4.30,2,146
13391782,Peaceful Sanctuary - ensuite double sunny balcony,34358606,Pamela,,Boswall and Pilton,55.97243,-3.22587,Private room,60,1,8,2016-09-18,0.26,1,0
13391924,"Charming, quiet, central, and home from home",3347799,Katie,,Canonmills and New Town North,55.95908,-3.19558,Entire home/apt,180,3,2,2018-08-16,0.11,33,0
13392254,Cosy and bright 2 bedroom flat close to The Shore,15274211,Aleksandra,,North Leith and Newhaven,55.97842,-3.18651,Entire home/apt,65,3,1,2018-02-01,0.08,2,0
13392313,Comfortable double room,15274211,Aleksandra,,North Leith and Newhaven,55.97747,-3.18591,Private room,30,1,93,2019-01-01,2.90,2,0
13394108,"2 Bed Flat w/ Private Terrace, 2 Baths and Parking",8723320,Valerie,,Broughton North and Powderhall,55.9652,-3.19728,Entire home/apt,79,2,68,2019-02-04,2.28,1,145
13395141,Two bedroom spacious town house w large garden,76182041,Rachel,,Oxgangs,55.90727,-3.22099,Entire home/apt,78,7,0,,,1,0
13400458,"Charming house by Edinburgh's Seaside, Portobello",76271924,Sara,,Portobello,55.95553,-3.11328,Entire home/apt,90,6,7,2018-08-27,0.34,1,338
13400481,cosy single room,41638717,Adam,,Newington and Dalkeith Road,55.93894,-3.17831,Private room,31,3,51,2019-01-03,1.66,1,365
13403933,Apartment centrale,76283223,Martino,,"Canongate, Southside and Dumbiedykes",55.94911,-3.17899,Entire home/apt,170,15,4,2017-08-28,0.13,7,200
13404391,Amazing Hanover St Apt In City Centre (2bd/2bath),76306561,David,,"Old Town, Princes Street and Leith Street",55.95215,-3.19662,Entire home/apt,80,2,187,2019-02-03,5.81,1,139
13406025,Lovely Double Room in Penthouse Flat with Terrace,39229645,Angela,,Comiston and Swanston,55.90784,-3.21673,Private room,60,2,43,2018-09-29,1.34,1,89
